,질문,답변
10,"질문
통화정책 무역금융제도","답변
통상적으로 기업들은 수출품을 생산하여 배에 선적한 이후에야 수출대금을 지급받을 수 있기 때문에 수출품을 생산·가공하는 과정에서 자금수요가 큽니다. 이러한 기업의 자금수요를 완화하고 수출을 촉진하기 위해 은행은 이에 필요한 자금을 지원하고 있습니다. 이를 무역금융제도라고 합니다.
  무역금융은 자금의 용도에 따라 생산자금, 원자재자금 및 완제품구매자금으로 구분하여 지원하고 있으며 전년도 또는 과거 1년간 수출실적이 2억달러미만인 업체들에 대하여는 자금용도의 구분없이 소요자금 전액을 일괄하여 포괄금융으로 지원할 수 있습니다.
  한국은행은 금융중개지원대출 한도를 배정할 때 은행들이 취급한 무역금융 실적을 감안함으로써 무역금융이 활발히 이루어질 수 있도록 유도하고 있습니다."
11,"질문
통화정책 물가안정목표제","답변
물가안정목표제(Inflation targeting)는 중앙은행이 명시적인 중간목표 없이 일정기간 또는 중장기적으로 달성해야 할 물가상승률 목표치를 미리 제시하고 이에 맞추어 통화정책을 수행하는 방식입니다. 즉, 중앙은행은 통화량, 금리, 환율 등 다양한 정보변수를 활용하여 장래의 인플레이션을 예측하고 실제 물가상승률이 목표치에 수렴할 수 있도록 통화정책을 수행하며 이후 그 성과를 평가하고 시장의 기대와 반응을 반영하면서 정책방향을 수정해 나갑니다.
  이 제도는 1990년 뉴질랜드에서 처음 도입되었으며 이후 캐나다, 영국, 스웨덴 등 선진국과 한국, 멕시코 등 신흥시장국, 그리고 체코, 폴란드 등 체제전환국까지 확산되어 운영되고 있습니다.
  물가안정목표제는 대체로 다음과 같은 요소를 포함합니다. 첫째, 물가안정목표(target)의 구체적인 수치를 공표합니다. 둘째, 통화정책의 목표가 여러 개 있을 수 있지만 물가안정이 가장 중요한 목표여야 합니다. 일부에서는 물가안정목표제가 오직 물가안정만을 추구하는 것으로 이해하는 경우도 있으나, 일반적으로 물가안정과 여타 목표를 함께 추구하는 경우도 물가안정목표제에 포함합니다. 셋째는 책임성입니다. 이는 수치로 제시된 목표를 달성하는지 여부를 점검하고 그에 대한 일정한 책임을 부담함으로써 목표달성의 신뢰성을 높이는 것입니다. 책임성을 강화하기 위해 흔히 거론되는 요소 중의 하나가 투명성입니다. 물가안정목표를 국민들에게 명시적으로 알리고 평가를 받음으로써 책임성이 제고될 수 있습니다. 이러한 책임성과 투명성은 결국 경제주체에게 통화정책에 대한 신뢰, 즉 주어진 목표를 달성할 것이라는 기대를 심어줌으로써 통화정책의 유효성을 제고하게 됩니다.
  한국은행은 1998년부터 물가안정목표제를 도입·운영하고 있으며 2016∼2018년까지의 물가안정목표는 소비자물가 상승률 기준 2%로 설정하였습니다. 물가안정목표 운영 상황에 대한 정기적인 점검·설명은 국회 제출 법정보고서인「통화신용정책보고서」를 통해 연 4회 실시하고 있습니다. 정기적 설명책임 이외에 소비자물가 상승률이 6개월 연속 물가안정목표를 ±0.5%포인트 초과 또는 하회할 경우 총재의 기자간담회 등을 통해 초과 원인, 물가 전망경로, 통화정책방향 등을 설명하고 있으며 이후에도 이러한 상황이 지속되는 경우 3개월마다 후속 설명책임을 이행하고 있습니다."
12,"질문
통화정책 금융중개지원대출제도","답변
금융중개지원대출은 신용공급이 부족한 중소기업에 은행의 자금중개기능이 강화되도록 지원하는 한국은행의 대출제도입니다.

2018년 2월 현재 금융중개지원대출의 총 한도는 25조원이며 대출금리는 0.5∼0.75%로 기준금리(1.50%)보다 낮습니다. 금융중개지원대출은 지원 대상에 따라 5개 프로그램, 무역금융지원 프로그램(한도 1.5조원), 영세자영업자지원 프로그램(0.5조원), 신성장·일자리지원 프로그램(6.0조원), 중소기업대출안정화 프로그램(11.0조원) 및 지방중소기업지원 프로그램(5.9조원)으로 구성되어 있습니다. "
13,"질문
통화정책 통화정책의 파급시차와 선제적 통화정책","답변
통화정책은 다양한 경로(금리경로, 자산가격경로, 환율경로, 기대경로, 신용경로 등)를 통하여 파급되는데 그 효과가 경제성장이나 물가와 같은 실물변수에까지 이르려면 어느 정도의 시간이 필요하며 그 시간을 ‘파급시차’라고 합니다.
  통화정책은 일차적으로 금융·외환시장을 통해 총수요를 움직이고 궁극적으로 총생산 및 물가에 영향을 미치는데 이중 1단계인 금융·외환시장으로의 파급은 비교적 짧은 시간 내에 이루어집니다. 반면 금융시장 가격변수의 변동이 실물경제에까지 영향을 미치기 위해서는 상당한 시간을 필요로 합니다. 이는 금융시장 가격변수들은 상당히 빠르게 영향을 주고받지만 소비와 투자 등과 같은 실물경제활동은 시간을 두고 조정을 받기 때문입니다.
  이처럼 통화정책에 파급시차가 있다는 사실은 통화정책이 선제적으로 이루어져야 정책목표를 성공적으로 달성할 수 있음을 의미합니다. 그러나 선제적 통화정책을 수행하기 위해서는 현재의 경제상황에 대한 정확한 진단은 물론, 정확한 경제예측 능력이 뒷받침되어야 하는데 다양한 요인으로 경제적 불확실성이 확대되고 있는 상황에서 미래의 경제상황을 정확히 예측하여 적정한 정책대응의 시기와 정도를 결정하는 것은 매우 어려운 일입니다. 물가나 성장에 대한 전망의 정확성이 떨어지는 경우 이에 근거한 선제적 통화정책 수행은 오히려 물가를 불안하게 하고 실물경기 변동을 심화시킬 수도 있습니다. 이에 따라 각국 중앙은행들은 보다 신중한 정책결정을 위해 미래의 금융·경제 상황 변화에 대한 분석 및 전망의 정확성을 높이는 데 많은 노력을 기울이고 있습니다."
14,"질문
통화정책 통화정책체계","답변
통화정책체계는 통화정책의 결정과 집행을 뒷받침하기 위해 필요한 제도적 장치를 가리키며 구체적으로는 다음과 같은 요소로 구성됩니다.
  첫째, 통화정책의 최종목표입니다. 통화정책은 여러 가지 목표를 가질 수 있지만 물가안정이 중요한 목표라는 점에 대해서는 어느 정도 합의가 이루어져 있습니다. 아울러 글로벌 금융위기를 계기로 거시경제의 안정을 위해서는 물가안정과 함께 금융안정이 매우 중요하다는 점이 부각되면서 대다수 중앙은행은 물가안정과 금융안정을 통화정책의 주된 목표로 삼아 추구하고 있습니다.
  둘째, 명목기준지표(nominal anchor)입니다. 명목기준지표란 중앙은행의 최종목표와 밀접한 관계를 갖고 정책수단과 최종목표를 이어주는 역할을 하는 지표를 가리키며 통화량, 환율, 인플레이션율 등이 그 예입니다. 중앙은행은 한 가지 지표를 선택하여 그 지표의 목표 수준을 결정한 다음, 이를 달성할 수 있도록 통화정책을 수행합니다.
  셋째, 운용목표(operating target)입니다. 중앙은행이 명목기준지표를 직접 제어하기는 어렵기 때문에 다른 변수의 영향을 받지 않고 중앙은행이 원하는 수준을 유지하여 명목기준지표에 영향을 줄 수 있는 수단으로 운용목표를 필요로 하며, 일반적으로 단기시장금리나 지급준비금 등이 사용됩니다.
  넷째, 통화정책의 수단입니다. 중앙은행은 일반적으로 공개시장조작, 중앙은행 여수신제도, 지급준비제도 등을 통화정책 수단으로 활용하여 운용목표의 적정 수준을 유지함으로써 궁극적으로 최종목표를 달성하기 위해 노력합니다.
  마지막으로, 통화정책의 결정과 집행을 뒷받침할 수 있는 제반 제도입니다. 의사결정 및 집행기구, 외부압력으로부터의 독립성 확보장치, 정책수행 결과에 대한 책임성(accountability) 제고방안, 그리고 통화정책의 신뢰성과 유효성 확보를 위한 투명성(transparency) 증대 장치 등이 이에 포함됩니다.
  통화정책체계의 구성요소 가운데 최종목표나 정책수단 등은 본질적으로 비슷하며 나라에 따라 차이가 있다고 하더라도 대개 정도의 문제라 할 수 있습니다. 그러나 통화정책 수행에 있어 어떤 명목기준지표가 적합한지는 각국의 경제구조와 금융시장의 발달정도 등에 따라 달라지게 됩니다. 이처럼 명목기준지표의 선택은 상당히 큰 차별성을 갖기 때문에 각국의 통화정책을 설명할 때에는 이를 기준으로 구분하는 것이 일반적입니다. 즉 통화량, 환율, 물가상승률을 명목기준지표로 활용하는 경우 각각을 통화량목표제(monetary targeting), 환율목표제(exchange rate targeting), 물가안정목표제(inflation targeting)라고 부르며, 이들을 가리켜 통화정책 운영체제(monetary policy regime)라고 합니다.
  우리나라의 경우 1997년 이전 통화량목표제 하에서는 중간목표를 통화량으로 설정하고 이를 달성하기 위한 운용목표로서 지준총액을 활용하였습니다. 그러나 중간목표로서 통화량의 유효성이 점차 약화되면서 한국은행은 외환위기 이후 물가안정목표제와 함께 금리를 운용목표로 하는 금리중심 통화정책 운영방식을 도입하여, 현재 중기적 물가안정목표를 설정하고 이를 달성하기 위해 정책금리 조정을 주로 활용하는 방식으로 통화정책을 운용하고 있습니다."
15,"질문
통화정책 최종대부자","답변
최종대부자(lender of last resort)란 금융위기로 인해 개별 금융기관 또는 전체 금융시장에 유동성 부족사태가 발생했을 때 위기 극복을 위해 유동성을 공급해 줄 수 있는 마지막 보루를 뜻합니다. 이는 현실적으로 화폐의 독점적 발행권과 무제한 공급능력을 가지고 있는 중앙은행만이 할 수 있는 일입니다.
  금융기관, 특히 은행은 일반적으로 단기로 예금을 받아 장기로 대출을 해 주기 때문에 보유하고 있는 자산과 부채의 만기가 일치하지 않습니다. 은행은 고객의 예금인출 요구에는 즉각 부응해야 하지만 대출을 회수하는 데는 시간이 걸립니다. 이에 따라 은행은 예금인출 사태(bank-run)가 발생하는 경우 예금인출 요구에 응하지 못하는 유동성 위기에 처할 가능성이 높습니다. 더욱이 한 은행의 유동성 위기는 금융시스템 전체에 대한 불신으로 이어져 건전한 은행이라도 동반하여 위기에 처해질 수 있습니다. 따라서 중앙은행은 금융위기가 발생하였을 때 지불능력은 있으나 단기적으로 유동성이 부족하여 예금인출 요구에 응할 수 없는 금융기관(solvent but illiquid institutions)에 충분한 자금을 공급해 위기를 넘길 수 있게 도와줌으로써 사람들의 불안 심리를 안정시키고 위기의 확산을 방지하는 역할을 합니다.
  한편 글로벌 금융위기 극복과정에서는 중앙은행이 개별 금융기관을 넘어 금융시장 전체에 유동성을 공급하는 정책도 수행하였습니다. 이렇게 전통적인 최종대부자 기능을 보완하는 중앙은행의 정책이 필요하게 된 것은 금융시장이 고도화되면서 회사채나 금융채 발행을 통한 자금조달이 확대되었고 이들 채권이 거래되는 유통시장(secondary market)의 효율적인 작동이 금융시스템 안정에 매우 중요해졌기 때문입니다.
  그러나 중앙은행의 최종대부자 기능 수행은 금융기관으로 하여금 고수익-고위험 자산을 더욱 선호하도록 하고 예금자가 금융기관 경영 및 재무상태의 건전성에 대한 판단 없이 더 높은 금리를 제시하는 금융기관에 자금을 맡기려는 성향을 강화시키는 등 도덕적 해이(moral hazard)를 초래할 위험성이 있습니다. 이러한 도덕적 해이를 방지하기 위해 중앙은행은 필요한 경우 경영실태 파악과 지도·감독 등을 통하여 금융기관이 건전하게 경영될 수 있도록 유도하는 역할을 수행하기도 합니다."
16,"질문
외환 외국환 포지션","답변
포지션(position)이란 통상 증권·상품 등의 매매결과에 따른 매입·매도 상황이나 보유상태를 말하는데, 특히 관심의 대상이 되고 있는 외국환포지션은 일정시점에 있어서 외국환은행이 보유하고 있는 외화자산과 외화부채의 차액으로 외국환 매매의 결과로 발생합니다. 외국환은행의 외화자산이 외화부채보다 큰 경우를 외국환 매입초과포지션(over-bought position 또는 long position)이라고 하고 반대로 외화부채가 외화자산보다 큰 경우를 외국환 매도초과 포지션(over-sold position 또는 short position)이라 하며 외화자산과 부채가 일치하는 균형상태를 스퀘어 포지션(square position)이라 합니다.
  외국환은행의 외화자산과 외화부채가 일치하지 않을 경우 환율변동 위험에 노출되어 이에 따른 손익이 발생합니다. 예를 들면 외국환은행이 매입초과포지션인 상황에서는 환율이 상승하면 이익을 보게 되나 환율이 하락하면 손실을 입게 됩니다. 반대로 매도초과포지션에서는 환율 상승시 손실을, 환율 하락시 이익을 보게 됩니다. 또한 외국환은행의 외환포지션이 과도할 경우 경영이 부실화되고 외환시장이 교란될 위험이 높아집니다. 이에 따라 우리나라는 은행의 건전 경영을 유도하고 외환시장 교란을 사전에 방지하기 위하여 외국환 매입초과포지션 또는 외국환 매도초과포지션의 한도를 설정하는 외환포지션 관리제도를 운영하고 있습니다."
17,"질문
외환 파생금융상품","답변
파생금융상품(financial derivatives)은 환율, 금리, 주가 등의 움직임에 따라 변동하게 되는 금융자산(underlying asset)의 장래가치를 미리 결정하여 사고 팔기로 약정한 후 이 약정에 따라 일정기간이 경과한 뒤 실제 거래가 이루어지는 일체의 금융계약(financial contracts)을 의미합니다. 파생금융상품은 계약시점에는 자산이나 부채의 변동이 일어나지 않기 때문에 재무상태표에 그 거래가 계상되지 않으며, 소액의 계약금만으로 금융자산에 대한 권리를 확보할 수 있어 소액투자로 대량거래가 가능하다는 특징이 있습니다.
  기업과 같은 위험회피자(hedger)는 파생금융상품 거래를 통해 환율, 금리 등의 변동에 따른 금융자산·부채의 가치변동 위험을 회피할 수 있으며, 투자펀드와 같은 투기적 거래자(speculator)는 위험회피자의 위험을 부담하는 대신 고수익을 기대할 수 있습니다. 또한 금융기관은 거래의 중개자로서 중개수수료를 획득할 뿐 아니라 직접 거래당사자로 참여함으로써 위험을 회피하거나 수익을 얻을 수도 있습니다.
  파생금융상품은 공인된 거래소에서 표준화·정형화된 금융상품이 공개경쟁방식에 의해 거래되는 장내(exchange)거래와 전화, Telex 등을 통해 거래당사자 간에 직접거래되는 장외(OTC : Over-The-Counter)거래로 구분할 수 있습니다."
18,"질문
발권출납 과거 화폐의 현재가치","답변
화폐의 명목(액면)가치를 실제 물건을 살 수 있는 정도를 나타내는 실질가치로 어떻게 환산할 것인가의 문제인데 화폐의 실질가치란 물건을 살 수 있는 구매력의 크기이므로 동일 물건의 과거와 현재의 가격을 안다면 시대별 화폐의 실질가치를 비교할 수 있을 것입니다.
   일반적으로 물가수준이 장기에 걸쳐 계속 변동하여 화폐단위의 구매력이 안정되지 못한 경우, 이를 특정 시점의 실질구매력으로 환산하기 위하여 많이 이용되는 주요 가격지표에는 물가지수, 쌀가격, 금가격 등이 있습니다.
  
예를 들어, 2015년 현재 소비자 물가(지수)가 1965년에 비해 36.3배가 올랐다고 하면 2015년 화폐의 실질가치는 1965년에 비해 반대로 36.3분의 1로 하락하게 된 셈입니다. 이에 따라 1965년의 10,000원을 2015년도 명목가치로 환산하면 이를 36.3으로 곱한 363,000원이 되고 달리 표현하면 2015년 10,000원의 가치는 1965년의 275원에 해당된다고 할 수 있습니다.
     ※ 화폐가치계산은 「경제통계시스템(ECOS)-고객지원-화폐가치계산」을 이용하시면 구할 수 있습니다.
  ""화폐가치계산기 바로가기"""
19,"질문
외환 매매기준율","답변
매매기준율이란 최근 거래일에 외국환중개회사를 통하여 거래가 이루어진 미달러화의 현물환율을 거래량으로 가중 평균하여 산출되는 시장평균환율을 말하며 각 외국환은행은 고객과 외환을 사고 팔 때 이를 기준으로 일정금액을 가감하여 대고객매매율을 정합니다. 즉, 각 외국환은행에서는 수수료 등을 포함하여 일정금액을 정한 후, 고객으로부터 외환을 살(팔) 때 매매기준율에서 이를 차감하여(더하여) 대고객매매율을 결정·고시하고 고객과의 외환거래 시 적용하고 있습니다.
한편, 각 외국환은행이 적용하는 대고객매매율은 은행별로 다를 수 있습니다."
20,"질문
발권출납 한국은행앞 화폐 입금방법","답변
1. 한국은행 수납일자

한국은행은 금융기관으로부터 현금을 수납하는 일자를 별도로 정하지 않고 있으므로, 한국은행에 입금하고자 하는 경우 그 내역을 한국은행에 사전 유선통보한 후 언제든지 입금할 수 있습니다.

2. 한국은행 앞 입금방법

   가. 상태별 구분
   - 금융기관은 화폐를 ①사용화폐 ②손상화폐 ③극손상권 등 상태별로 구분하여 한국은행에 입금하여야 합니다. 

   나. 입금단위
   - 은행권은 큰묶음단위(작은묶음 10개)로, 주화는 큰자루단위(작은자루의 묶음, 작은자루 수량은 화종별로 다름)로 입금하여야 합니다. 다만, 예외적인 입금단위는 다음과 같습니다.

   큰묶음단위가 되지 않는 극손상권은 작은묶음단위(은행권 100장)로도 입금할 수 있으며,
   이때 그 작은묶음은 ＋자형으로 띠지를 묶어야 함
   큰자루단위가 되지 않는 손상주화는 작은자루단위(주화 500장)로도 입금할 수 있음
   발행중지은행권 및 기념주화는 낱장단위로도 입금할 수 있음
   물량이 적은 경우에는 한국은행 화폐교환창구에서 직접 현용화폐로 교환할 수도 있음"
21,"질문
발권출납 액면별 도안소재 및 최초 발행일자","답변
현재 한국은행권의 도안은 모두 인물초상을 주 소재로 하고 있는데 이들은 고증을 통해 제작된 표준영정을 기준으로 이루어진 것이며 규격은 가로확대(세로고정)형을 채택하여 각 권종 간 6㎜씩 차이를 두고 있습니다.
  또한 주화는 각 주화종류별 용해점(Melting Point)을 고려하여 지름, 중량, 성분 등을 달리하고 있으며 도안은 학(500원화), 이순신장군 초상(100원화), 벼이삭(50원화), 다보탑(10원화), 거북선(5원화), 무궁화(1원화) 소재를 사용하고 있습니다.
  자세한 내용은 첨부<표> 를 참고하시기 바랍니다.
  현행 화폐의 도안소재 및 최초 발행일자
  액면
도안소재1)
최초발행일자
은행권
50000원권
신사임당 초상 / 월매도, 풍죽도
2009. 6. 23
  10000원권
세종대왕 초상 / 혼천의(혼천시계중 일부)
1973. 6. 12
  5000원권
율곡 이이 초상 / 신사임당(傳) 초충도
1972. 7. 1
  1000원권
퇴계 이황 초상 / 계상정거도
1975. 8. 14
주화
500원화
학 / 액면
1982. 6. 12
  100원화
충무공 이순신 / 액면
1970. 11. 30
  50원화
벼이삭 / 액면
1972. 12. 1
  10원화
다보탑 / 액면
1966. 8. 16
  5원화
거북선 / 액면
1966. 8. 16
  1원화
무궁화 / 액면
1966. 8. 16
주 : 1) 앞면/뒷면"
22,"질문
발권출납 기념주화의 사용가능 여부","답변
기념주화도 일반주화와 마찬가지로 국내에서 무제한 통용되는 법화(法貨, Legal tender)의 성격을 가지고 있기 때문에 일반상거래시 지급수단으로 사용할 수는 있습니다. 다만, 기념주화는 품위를 높이고 희소성을 유지하기 위해 일반적으로 색상이 아름답고 쉽게 변하지 않는 금, 은, 백금 등 귀금속을 사용하고 그 발행량을 제한한다는 점에서 일반주화와는 다른 특징을 지니고 있습니다.
  따라서 기념주화는 실거래에서 물건을 사고 팔 때 사용되는 예가 거의 없어 교환의 매개역할을 하는 화폐라기보다는 그 자체가 내재적 가치를 지닌 상품으로 거래되고 있습니다. 그러나 기념주화가 액면금액 이상으로 할증 발행되었거나 실제 시중에서의 거래가치(去來價値)가 액면가(額面價)보다 높아도 한국은행이 교환해 주는 금액은 당해 기념주화에 새겨진 액면금액임을 유의할 필요가 있습니다."
23,"질문
외환 우리나라의 현행 환율제도","답변
우리나라의 현행 환율제도는 변동환율제도(floating)입니다. 과거에는 은행 간 외환시장의 거래환율을 당일 기준환율의 일정폭 이내에서만 움직이도록 변동폭을 제한하기도 하였으나, 1997년 12월 16일부터는 동 제한폭을 폐지하여 원화 환율은 외환시장에서 외환 수급에 따라 자유로이 결정되고 있습니다."
24,"질문
외환 실질실효환율지수","답변
우리가 흔히 이야기하는 원/달러 환율, 원/엔 환율 등을 명목환율(nominal exchange rate)이라 합니다. 이는 원화와 각 상대국 통화 간의 교환비율로서 두 통화 간 비교만 가능할 뿐 주요 교역상대국 전체의 환율변동 대비 원화가치의 변동을 파악하지는 못합니다. 이러한 점을 감안해 지표 작성 시 선정한 주요 교역상대국 통화 각각에 대한 원화가치의 변동을 무역비중과 같은 적절한 가중치로 가중평균하여 종합·산출한 지표가 명목실효환율(nominal effective exchange rate)입니다.
  한편 일국 통화의 대외가치는 명목환율의 변동뿐만 아니라 국가 간 물가상승률의 차이에 의해서도 변화하게 되는데 이를 감안해 산출한 환율이 실질환율(real exchange rate)입니다. 앞서 설명한 명목실효환율과 실질환율의 개념을 통합하여 작성한 것이 실질실효환율(real effective exchange rate)입니다. 즉, 실질실효환율은 명목실효환율에 자국과 주요 교역상대국 간의 물가상승률 차이를 감안해 계산됩니다.
  한편, 실질(명목)실효환율은 수준이 다른 주요 교역상대국의 통화를 대상으로 하나의 수치로 표현되고 기준 년 대비 특정시점의 수치를 계산해 단위가 표준화되는 효과가 있는 지수 형태로 작성됨에 따라 통산 ‘실질(명목)실효환율지수’라고 불립니다.
  실질실효환율지수가 100 이상이면 기준시점 대비 주요 교역상대국 통화에 대한 원화의 고평가, 100 이하이면 원화의 저평가를 나타냅니다."
25,"질문
기업금융 무역금융제도","답변
통상적으로 기업들은 수출품을 생산하여 배에 선적한 이후에야 수출대금을 지급받을 수 있기 때문에 수출품을 생산·가공하는 과정에서 자금수요가 큽니다.
  이러한 기업의 자금수요를 완화하고 수출을 촉진하기 위해 은행은 이에 필요한 자금을 지원하고 있습니다. 이를 무역금융제도라고 합니다.

무역금융은 자금의 용도에 따라 생산자금, 원자재자금 및 완제품구매자금으로 구분하여 지원하고 있으며 전년도 또는 과거 1년간 수출실적이 2억달러미만인 업체들에 대하여는 자금용도의 구분없이 소요자금 전액을 일괄하여 포괄금융으로 지원할 수 있습니다.

한국은행은 금융중개지원대출을 배정할 때 은행들이 취급한 무역금융 실적을 감안함으로써 무역금융이 활발히 이루어질 수 있도록 유도하고 있습니다."
26,"질문
기업금융 무역금융의 융자방법","답변
무역금융은 용도별금융을 이용하는 경우 자금용도별로 융자방법을 선택할 수 있으므로 외국환은행(지점 기준)을 달리한다면 생산자금은 신용장기준으로 원자재자금은 실적기준으로 융자받을 수 있습니다.(「한국은행 금융중개지원대출관련 무역금융지원 프로그램 운용세칙」제6조, 제7조)"
27,"질문
기업금융 보세판매장 업체의 무역금융 이용가능성","답변
보세판매장에서 자가생산품을 외국인에게 외화로 판매한 실적이 있는 업체는 동 외화판매실적을 근거로 무역금융을 이용할 수 있습니다.(「한국은행 금융중개지원대출관련 무역금융지원 프로그램 운용절차」제6조 제2호)"
28,"질문
기업금융 환어음 발행 전 기업구매자금대출 실행","답변
「금융기관 기업구매자금대출 취급세칙」제4조는 환어음 또는 판매대금추심의뢰서가 도달한 날로부터 7일이내에 기업구매자금을 융자하도록 규정하여 납품업체가 물품을 납품한 후 동 납품대금을 회수하기 위하여 발행한 환어음을 결제할 때 또는 전자적 형태의 판매대금추심의뢰서에 의한 판매대금 추심시 구매기업에 자금을 융자하는 것을 전제하고 있습니다. 따라서 환어음 발행전에 기업구매자금대출을 실행하였다면 「금융기관 기업구매자금대출 취급세칙」이 정한 기업구매자금대출에 해당하지 않습니다."
